Id,IndicatorCode,SpatialDimension,SpatialDimensionValueCode,TimeDimension,TimeDim,DisaggregatingDimension1,DisaggregatingDimension1ValueCode,DisaggregatingDimension2,DisaggregatingDimension2ValueCode,DisaggregatingDimension3,DisaggregatingDimension3ValueCode,DataSourceDimension,DataSourceDimensionValueCode,Value,NumericValue,Low,High,Comments,Date,TimeDimensionValue,TimeDimensionBegin,TimeDimensionEnd
20738929,MH_16,COUNTRY,AFG,YEAR,2016,,,,,,,,,0.296,0.29641,,,,2019-04-25T15:31:58Z,2016,2016-01-01,2016-12-31
20738938,MH_16,COUNTRY,ALB,YEAR,2016,,,,,,,,,16.762,16.76158,,,,2019-04-25T15:31:58Z,2016,2016-01-01,2016-12-31
20738945,MH_16,COUNTRY,DZA,YEAR,2016,,,,,,,,,10.456,10.45608,,,,2019-04-25T15:31:59Z,2016,2016-01-01,2016-12-31
20738954,MH_16,COUNTRY,AGO,YEAR,2016,,,,,,,,,0.585,0.58508,,,,2019-04-25T15:31:59Z,2016,2016-01-01,2016-12-31
20738962,MH_16,COUNTRY,ATG,YEAR,2016,,,,,,,,,136.105,136.1048,,,,2019-04-25T15:31:59Z,2016,2016-01-01,2016-12-31
20738966,MH_16,COUNTRY,ARG,YEAR,2016,,,,,,,,,40.566,40.56634,,,,2019-04-25T15:31:59Z,2016,2016-01-01,2016-12-31
20738983,MH_16,COUNTRY,AUS,YEAR,2015,,,,,,,,,7.214,7.21442,,,,2019-04-25T15:31:59Z,2015,2015-01-01,2015-12-31
20738990,MH_16,COUNTRY,AUT,YEAR,2015,,,,,,,,,26.087,26.08699,,,,2019-04-25T15:31:59Z,2015,2015-01-01,2015-12-31
20739002,MH_16,COUNTRY,AZE,YEAR,2016,,,,,,,,,31.193,31.19319,,,,2019-04-25T15:32:00Z,2016,2016-01-01,2016-12-31
20739010,MH_16,COUNTRY,BHS,YEAR,2015,,,,,,,,,97.457,97.45682,,,,2019-04-25T15:32:00Z,2015,2015-01-01,2015-12-31
20739020,MH_16,COUNTRY,BHR,YEAR,2017,,,,,,,,,19.317,19.31691,,,,2019-04-25T15:32:00Z,2017,2017-01-01,2017-12-31
20739029,MH_16,COUNTRY,BGD,YEAR,2016,,,,,,,,,0.434,0.43424,,,,2019-04-25T15:32:00Z,2016,2016-01-01,2016-12-31
20739037,MH_16,COUNTRY,BRB,YEAR,2015,,,,,,,,,184.014,184.01433,,,,2019-04-25T15:32:00Z,2015,2015-01-01,2015-12-31
